,Address,Balance Mainnet,Balance Fork,Difference
252,0xf87201822c949e81695e0eceedaa8ec981dc5a80,46094217152062209,52362617152062209,6268400000000000
253,0xb84b4e49293239c464a0ee692ae28dc3f01b73c3,0,1000000000000000,1000000000000000
254,0x9fc7eeacd27d38a436462bb43ad97e49106820d7,5200112386385605637,5205935280847732437,5822894462126800
255,0x9e0905249ceefffb9605e034b534544684a58be6,0,0,0
256,0xfac0475b677b54f72682e0ea633ffa1088110dcf,258696424780514898,256889144832488898,1807279948026000
257,0x36008a3f8296845329e7963af964fdb01f5330bb,0,0,0
258,0x4242757f23728739ea77ed6df4f65e9ac9e090d0,59174193062587650,55971050276579369,3203142786008281
259,0x5851312c58758f24a3a58dc058f75d0dce4aab56,16921963331220105,19717133454875105,2795170123655000
260,0x4b35f7854e1fd8291f4ec714ac3ebb1dea450585,0,0,0
261,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,0,0,0
262,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,0,0,0
263,0xfc2bd2cc6151403b55f615f25f1da2af8a9deffa,842342977100104,22829232977100104,21986890000000000
264,0x2a8096569f3e922048df9461d65cf8e675cbf676,0,0,0
265,0x932bb5ba1baea418ff31846e3469bdab30d84e44,0,0,0
266,0x55836a43da3e0e5a26dc3cee64d773c757349a5a,0,10736730000000000,10736730000000000
267,0xb3550881295433b00278097c24aceba6c9236c31,0,2500000000000000,2500000000000000
268,0x59e08a723ab0bb5d5935327b60848eaf30e250a2,93404207889976760,94100049171059260,695841281082500
269,0xce61f0aacd24fc2056032c241960ac2b33e34a1e,0,0,0
270,0xd1f287a10bc4b6cf473ce98c4d2a1a177efdfa15,133992351023857785,133964160157621585,28190866236200
271,0x44d55228c43c21a7dc99cfe6b5162db3fa76db33,886656101809066535,863380650011531198,23275451797535337
272,0xd059eda21e46109dddbf45ff4d982527bccb50f3,66260462205000,79066260462205000,79000000000000000
273,0x65840a9471a8df058e2afeed473cfd82f16ccccc,65200618195103327,69687545292775405,4486927097672078
274,0x55fa1d3a3bc07b30f71ae87209451afcbd78d800,0,0,0
275,0x5d291ee08964092d847b5f67819ab7c1c1db52e1,0,108447177795967812,108447177795967812
276,0x73edaa951288a579fc833a0350e834ef740850f8,12231815864609605,70231815864609605,58000000000000000
277,0x38f0dc66828d0b55a8f28e3df46671c973e9bb2a,84074832527682410,1184324100793199656,1100249268265517246
278,0x7f264042eee2a056b3f4378b3b2168389b436c3a,499086914437833397,530440489178301429,31353574740468032
279,0xe07a03acbde1fa73fa75ec6b294f17d892514328,0,0,0
280,0x454f11d58e27858926d7a4ece8bfea2c33e97b13,0,0,0
281,0x466d43cb81775e7a4355f111622200ea448ec615,978592965202060400,980069156121183224,1476190919122824
282,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,58021197858419824234,57921197858419824234,100000000000000000
283,0xae9ba824a49e642c3eb64f2a8b041dd4c14af764,3607012713845619560,3603714631508248325,3298082337371235
284,0xb0fc6362a68cb90bf1e5f4c8471a6abe9bc9aa56,225861784485550000,212532815485550000,13328969000000000
285,0x3f709356385f40e0623c246389e5ecc1e655577f,0,0,0
286,0xd53230b35f430facff1c354a35cc3059a4f788cf,645121338873061229,645021338873061229,100000000000000
287,0xa4bac4c2ec4492cd6d81550fbf42d8d698d40647,3399413190209049215,3392482512132226904,6930678076822311
288,0x91a0a3043f68986043d7083c4d85b558b21f0a7b,115286771312610044068,112643436225012583068,2643335087597461000
289,0x99361d689133f250e94c995af65f80841331ad1a,0,0,0
